"STATE","FIPS","AVG_AGE","AVG_AGE_G","AVG_HISPANC2","AVG_WHITE","AVG_BLACK","AVG_OTHER","AVG_MULTI","AVG_INCOME_SCALE","AVG_GENHLTH","AVG_GEN_VGEXCL","AVG_GEN_FRPOOR","AVG_PHYSHLTH7P","AVG_MENTHLTH7P","DIABETES","OVERWT","NOTOVERWT","OBESE","FRUDAY","VEGDAY","FRUVEGDAY","FRUVEGLT1","FRUVEG1PLT3","FRUVEG3PLT5","FRUVEG5PLT7","FRUVEG5P","BMI","PHYSINACT","PHYSACT","PHYSREC","HIGHBP","HIGHCHOL","STROKE","NOWASTHMA","COPD","DEPRESS","FLUSHOT","HIVTEST","DOCTOR","CHECKUP","EVERSMOKE","NOWSMOKE","BINGEDRK","HEAVYDRK","ALWAYSBELT","MSCODE"
"AL","01",47.2852350420524,2.60620871193748,0.0394895624361469,0.673099914359657,0.249203102183432,0.0194506302898609,0.00714736558910088,5.79389398750886,2.70275501269397,0.444447596393343,0.228429632454258,0.275003318905812,0.247472653231764,0.138276000535645,0.362545243223922,0.310580767327463,0.326873989448611,1.14909257325979,1.78808352394809,2.94870605531699,0.111137308193553,0.473203179474698,0.299763206428943,0.0715562874586201,0.115896305902805,28.4735243488394,0.356732099243501,0.435356846406777,0.157417628184007,0.403491006504943,0.443750035909241,0.0470597638451251,0.0853090223405066,0.103466179303269,0.217962075351143,0.406746793499505,0.384456104882334,0.777986328686558,0.720738210173279,0.449051100733677,0.214625379147888,0.111504399203677,0.0425511065537582,0.886085996914921,2.17442845046571
"AK","02",44.5219909288986,2.48137037378506,0.0561134360284085,0.64593147784952,0.0357919952372654,0.192066890341154,0.0464249685155499,6.27757427156421,2.46387968884444,0.536844502555452,0.14976513761564,0.208256037510077,0.182686385007993,0.0706159458583322,0.381828901813455,0.337549896447143,0.280621201739403,1.40927066954521,2.05460115832075,3.47916511088511,0.0850359765076215,0.390925088780834,0.31683985323222,0.139731448010214,0.207199081479327,27.8236244533093,0.267079411288818,0.54253254174026,0.247579756906277,0.298181415653724,0.38631711980738,0.0219442566672393,0.0930445333626388,0.0552015740489776,0.162751711779974,0.347298424683973,0.444307072601056,0.671862223794384,0.570898918508415,0.493516866831025,0.22568227581768,0.195128547764943,0.0819013891001609,0.825107212542565,2.39520958083832
"AZ","04",46.801390426066,2.59198056191669,0.264432796401637,0.601137761043302,0.0421607166148234,0.0702753559492459,0.00720807424114107,5.85229155437049,2.49030945240242,0.52801750592042,0.167143117621213,0.245551895953603,0.215436988459456,0.10663819415361,0.361234085516715,0.371991512198537,0.266774402284747,1.35969722490117,2.02400160688791,3.39545552863359,0.0891850960521353,0.433529168547672,0.299433552555268,0.102189960090524,0.177852182844925,27.2878110043651,0.29171389721657,0.499064620744134,0.212918559598781,0.306832675507518,0.397211780760062,0.0282757316285756,0.0888006307782706,0.0710275301968864,0.180474507205425,0.335202130695582,0.365490444351129,0.681978285365559,0.635626488257776,0.423932422151602,0.163314303726251,0.134399301882877,0.0626608361227734,0.86904564177818,1.64613368283093
"AR","05",47.397547477862,2.6158634986383,0.0585230999636636,0.748540634371781,0.1418596027772,0.0234061384634356,0.0121013576020312,5.42566987613083,2.76126567782718,0.426510930875555,0.241161871859559,0.272934153286739,0.246613643915349,0.115112626805643,0.359965147380408,0.293045506487759,0.346989346131832,1.1450394150165,1.75205182888138,2.89382989492978,0.139672326317487,0.46857440137672,0.269426860548236,0.078133674193337,0.122326411757556,28.823826892163,0.387401271347147,0.394933613655332,0.130599438510408,0.386696432455546,0.424308995458773,0.0452744002318124,0.0828826269240718,0.0900464291254947,0.231433550754563,0.389672687453983,0.311310801939485,0.771189861553162,0.647504981398601,0.50916870208275,0.259236101992657,0.125464539219126,0.049613873434315,0.7988080478645,2.40524781341108
"CA","06",45.5983472374014,2.52829176079736,0.347320618063573,0.417804718887605,0.0573205951559108,0.150635391244356,0.0202884095955735,5.68718590354249,2.52732798849877,0.507230655532233,0.189210963775142,0.213253765440048,0.220350505539828,0.101670972819973,0.368053324475424,0.391209402072065,0.240632909655068,1.67107170795535,2.21705321198017,3.89118541419652,0.0483677998781911,0.367311480187381,0.328146269137397,0.156193764966022,0.256174450797036,27.0064120565663,0.236534870042835,0.552817348527893,0.236658725005884,0.287151364317041,0.377185021383859,0.021613578716408,0.0874708567202179,0.0463904814128557,0.130928758658625,0.371657662023627,0.408292227782179,0.712423742843175,0.627392522615802,0.35355292871657,0.125386703696354,0.174301135171444,0.0636983152339125,0.940257947139538,1.65570311530346
"CO","08",45.8968606118703,2.54546178530043,0.182525086133195,0.708892678465175,0.0370026600978391,0.034136351615074,0.0177210476002365,6.23670672347937,2.37165120777552,0.582841529779202,0.131322653172598,0.192121519748078,0.189274824943789,0.0647144689645465,0.358765858010686,0.428957032345862,0.212277109643449,1.47721917076756,2.03393236355191,3.51327593894777,0.0606377001997311,0.408954161133459,0.334530312409794,0.12961280164751,0.19587782625701,26.5276262265886,0.214793134485542,0.580786014476177,0.255754411551852,0.262674804507397,0.348338968273121,0.018064216734062,0.087313206978626,0.0455924008147237,0.181546158576275,0.442305217560857,0.370414989437934,0.764727247997244,0.60942733201207,0.439105336518662,0.176763603154404,0.184899906355875,0.0670374470744167,0.854455559989954,1.91273018414732
"CT","09",47.9523904146434,2.63915626518667,0.127783676597098,0.712332082545185,0.0896424542417968,0.048471467211741,0.00642503479180055,6.48213072702583,2.37122458325441,0.584382973407644,0.132429880778126,0.195458525173407,0.197749522025254,0.083268873710275,0.385287178874403,0.365152729852218,0.249560091273372,1.5009806367685,1.91436005016506,3.42072015017867,0.0779241571418028,0.401850089094421,0.333288667142249,0.122377675241805,0.186937086621525,27.2794229751736,0.281885405617996,0.491981110814456,0.200330926433175,0.31292779776048,0.378404084526761,0.0233145753395073,0.0980148511054493,0.0586909510787834,0.174499854854817,0.402624716023593,0.358085385039833,0.848291879720858,0.717958079149841,0.437524570335803,0.154986560251487,0.181516102488541,0.0629629804696307,0.891144515798324,1.68787515006002
"DE","10",47.5098574976253,2.62881259589436,0.0742406954721392,0.668227474864366,0.19516421146273,0.0436541193735405,0.00728495055785796,6.19816587514303,2.52659374592571,0.510217229436645,0.173213390806807,0.217905641701736,0.205715266535224,0.110916876821212,0.3441935683265,0.345621140497733,0.310185291175768,1.33324838515576,1.69670000527249,3.03013438600429,0.136202950139192,0.424089346998525,0.282361701806473,0.108399732463035,0.157346001055813,27.9549578942816,0.319178234187163,0.476619193187762,0.204111732879365,0.356312618452929,0.405849650844085,0.0345667455590507,0.105897931772024,0.0599005357244922,0.176698125706342,0.450909443936014,0.408688163593145,0.859449972664912,0.760166303486339,0.450264001087588,0.195531210640721,0.169838731589872,0.0659865460468575,0.920165558800963,1.87614678899083
"DC","11",43.6777209739215,2.45136471719402,0.062385339151442,0.382975952657343,0.450565953345678,0.0563451327381822,0.0229565443153352,6.03597729644114,2.28733086133311,0.604155846279447,0.1271987017985,0.203721085407606,0.207941522260256,0.0780307654532137,0.315718675361363,0.457404977611351,0.226182744460331,1.57616766621862,2.06233964405839,3.64212140641056,0.069675888637074,0.381768211196866,0.338032735989051,0.13883434271322,0.21052316417701,26.7937342414182,0.229568076961979,0.567455440470232,0.25120500137797,0.284441856890153,0.340009630231732,0.0318109985280418,0.118602822726447,0.0583034428650658,0.208994627270642,0.384688785058436,0.706958716568704,0.762260943650644,0.730142383591509,0.402504631426055,0.188046628788902,0.223514283102534,0.0644174748740212,0.880854585856814,1
"FL","12",48.9788286274683,2.69580196287111,0.220386923045883,0.563546198477185,0.130055601764097,0.0260088018462583,0.00991550279698333,5.6917123800036,2.55677188316385,0.4957354374125,0.195222851231983,0.258439279424903,0.224794252980048,0.111702093779514,0.369474655594129,0.365837976795145,0.264629230703435,1.47219103094293,1.96076477219968,3.42921531824196,0.0759900431307551,0.426725699538998,0.307066350305764,0.117061916816876,0.190217907024487,27.4803738566152,0.375150840593427,0.462032226948606,0.188834080093923,0.345859987558059,0.403346768230169,0.0368718258600742,0.0828432108113121,0.0739266116972341,0.167832132352756,0.30695297956116,0.4262756390906,0.732370560138358,0.702810420143132,0.450703710362011,0.168365342565086,0.155837112101276,0.0717244933603997,0.882026933170814,1.91495877502945
